unique_code
667797,667797
1769660,1769660
763470,763470
698869,698869
08511000003,08511000003
730028,730028
668967,668967
771165,771165
665650,665650
772741,772741
03481000742,03481000742
666230,666230
802943,802943
03481000668,03481000668
08721000026,08721000026
736939,736939
644821,644821
745187,745187
717653,717653
612183,612183
627177,627177
03561000115,03561000115
613638,613638
720536,720536
756859,756859
725857,725857
03721000121,03721000121
03451000160,03451000160
03601000326,03601000326
1622632,1622632
622705,622705
711097,711097
1811693,1811693
686704,686704
03451000120,03451000120
763482,763482
615413,615413
711107,711107
08161000008,08161000008
01231000065,01231000065
759761,759761
613724,613724
660762,660762
651695,651695
01671000040,01671000040
774124,774124
03221000262,03221000262
01621000223,01621000223
1780669,1780669
1811667,1811667
08161000020,08161000020
724590,724590
1231905,1231905
726333,726333
2071196,2071196
612918,612918
650243,650243
663779,663779
613676,613676
01581000110,01581000110
03031000191,03031000191
03731000561,03731000561
03731000589,03731000589
03481000921,03481000921
03221000137,03221000137
01221000103,01221000103
03731000307,03731000307
03731000965,03731000965
01311000148,01311000148
03731000241,03731000241
08101000004,08101000004
01361000070,01361000070
01291000064,01291000064
01371000030,01371000030
03181000359,03181000359
03071000129,03071000129
08721000023,08721000023
03731000094,03731000094
03071000137,03071000137
03731001330,03731001330
03731000130,03731000130
01161000044,01161000044
03721000468,03721000468
01731000052,01731000052
03731000486,03731000486
08481000034,08481000034
767280,767280
628461,628461
669576,669576
03481000327,03481000327
669531,669531
612564,612564
751416,751416
687860,687860
613320,613320
623805,623805
725175,725175
705030,705030
625119,625119
752249,752249
759154,759154
1852681,1852681
702481,702481
652124,652124
1785691,1785691
1795667,1795667
637799,637799
03721000001,03721000001
802042,802042
03111000255,03111000255
1661636,1661636
637587,637587
2065936,2065936
667626,667626
03201000177,03201000177
781162,781162
08161000028,08161000028
03481000835,03481000835
03691000455,03691000455
03101000035,03101000035
650064,650064
783281,783281
743578,743578
08161000027,08161000027
08161000018,08161000018
01571000070,01571000070
03481000665,03481000665
1156722,1156722
08721000002,08721000002
03631000108,03631000108
01221000001,01221000001
08161000021,08161000021
08161000011,08161000011
1758670,1758670
1765657,1765657
03601000399,03601000399
1793663,1793663
03211000227,03211000227
03731000564,03731000564
665354,665354
03541000107,03541000107
762490,762490
1778647,1778647
729269,729269
695916,695916
650826,650826
615280,615280
08381000009,08381000009
696301,696301
763322,763322
2023763,2023763
615416,615416
638447,638447
08461000008,08461000008
2061796,2061796
03441000019,03441000019
649378,649378
710127,710127
614490,614490
613681,613681
1621615,1621615
612058,612058
690786,690786
737439,737439
03531000022,03531000022
01171000024,01171000024
738461,738461
763362,763362
615424,615424
688989,688989
722715,722715
613080,613080
649415,649415
2088026,2088026
709339,709339
03511000051,03511000051
613459,613459
703898,703898
638281,638281
1209534,1209534
03111000333,03111000333
692852,692852
803541,803541
786957,786957
1636618,1636618
770042,770042
03481000753,03481000753
613357,613357
03691000644,03691000644
814841,814841
638486,638486
01131000037,01131000037
671584,671584
804962,804962
712791,712791
1971716,1971716
770874,770874
708880,708880
01331000100,01331000100
724948,724948
791501,791501
655956,655956
629135,629135
659264,659264
656142,656142
612497,612497
678613,678613
786170,786170
623827,623827
654245,654245
03231000131,03231000131
612738,612738
1936721,1936721
01631000087,01631000087
727414,727414
